HARGA,LT,LB,JKT,JKM,KOTA
4400000000,236,158,6,4,JAKSEL
14000000000,460,400,4,3,JAKSEL
19800000000,1039,430,5,3,JAKSEL
6800000000,253,380,4,3,JAKSEL
14000000000,460,400,4,4,JAKSEL
9550000000,251,288,3,4,JAKSEL
4600000000,123,190,3,3,JAKSEL
19000000000,358,500,5,5,JAKSEL
5800000000,128,148,3,3,JAKSEL
7000000000,291,210,4,3,JAKSEL
21500000000,788,400,4,3,JAKSEL
38000000000,900,422,4,3,JAKSEL
5900000000,160,176,4,3,JAKSEL
15000000000,600,450,5,4,JAKSEL
14900000000,700,500,4,3,JAKSEL
16000000000,587,350,4,3,JAKSEL
21000000000,1180,550,5,4,JAKSEL
9500000000,330,450,5,2,JAKSEL
8500000000,400,280,3,3,JAKSEL
14000000000,580,500,6,4,JAKSEL
26000000000,600,450,4,4,JAKSEL
13000000000,330,430,5,4,JAKSEL
8600000000,246,350,3,3,JAKSEL
7000000000,194,229,5,4,JAKSEL
18000000000,800,600,5,5,JAKSEL
5500000000,214,245,4,2,JAKSEL
43000000000,1000,600,27,27,JAKSEL
13500000000,250,350,5,4,JAKSEL
36000000000,1300,850,5,5,JAKSEL
4500000000,235,300,4,4,JAKSEL
18500000000,1000,700,4,3,JAKSEL
21500000000,603,400,4,1,JAKSEL
21000000000,358,500,4,5,JAKSEL
24000000000,450,1320,5,3,JAKSEL
15000000000,225,425,5,4,JAKSEL
21600000000,800,500,4,2,JAKSEL
12000000000,477,970,5,4,JAKSEL
5000000000,185,255,4,4,JAKSEL
7700000000,188,300,3,3,JAKSEL
8700000000,246,350,3,3,JAKSEL
5200000000,464,400,5,5,JAKSEL
30000000000,1017,500,5,3,JAKSEL
4500000000,258,150,2,2,JAKSEL
30000000000,1500,600,7,7,JAKSEL
28000000000,1100,800,5,4,JAKSEL
14200000000,474,455,3,3,JAKSEL
29000000000,1019,800,6,4,JAKSEL
6900000000,389,400,4,3,JAKSEL
21900000000,377,266,4,3,JAKSEL
14500000000,212,363,3,4,JAKSEL
5300000000,129,148,3,3,JAKSEL
7900000000,181,330,3,4,JAKSEL
4500000000,151,200,4,4,JAKSEL
17000000000,500,600,4,3,JAKSEL
14500000000,240,450,4,4,JAKSEL
20000000000,1040,600,4,3,JAKSEL
5900000000,160,176,4,3,JAKSEL
20000000000,1026,750,6,4,JAKSEL
2500000000,94,180,4,4,JAKSEL
18500000000,421,450,4,3,JAKSEL
20000000000,472,650,4,3,JAKSEL
6500000000,295,300,4,4,JAKSEL
5000000000,225,245,3,3,JAKSEL
17000000000,465,640,4,4,JAKSEL
15000000000,500,600,5,5,JAKSEL
10000000000,246,350,3,3,JAKSEL
18000000000,700,500,5,4,JAKSEL
36000000000,1147,900,5,6,JAKSEL
35500000000,500,525,4,4,JAKSEL
5250000000,190,320,4,3,JAKSEL
13500000000,330,520,3,2,JAKSEL
10700000000,604,550,5,5,JAKSEL
18000000000,415,470,5,4,JAKSEL
21000000000,817,500,4,4,JAKSEL
10000000000,227,400,4,3,JAKSEL
6500000000,215,320,4,3,JAKSEL
4700000000,260,280,6,4,JAKSEL
17500000000,518,450,5,7,JAKSEL
19750000000,500,536,5,5,JAKSEL
30000000000,317,450,4,4,JAKSEL
15000000000,585,300,4,2,JAKSEL
25000000000,1050,1000,4,4,JAKSEL
